STATE,month,HLY-TEMP-NORMAL,HLY-TEMP-10PCTL,HLY-TEMP-90PCTL,HLY-DEWP-NORMAL,HLY-DEWP-10PCTL,HLY-DEWP-90PCTL,HLY-CLDH-NORMAL,HLY-HTDH-NORMAL,HLY-HIDX-NORMAL,HLY-WCHL-NORMAL,HLY-WIND-AVGSPD,HLY-WIND-PCTCLM,HLY-WIND-VCTDIR,HLY-WIND-VCTSPD,HLY-WIND-1STDIR,HLY-WIND-1STPCT,HLY-WIND-2NDDIR,HLY-WIND-2NDPCT
Alabama,7,80.11260080645161,74.54554771505376,85.07770497311827,70.86384408602152,65.99578293010754,74.71854838709677,15.1258064516129,0.011172715053763443,83.62205981182795,80.10593077956989,4.584979838709678,28.715625000000003,215.11021505376345,1.344758064516129,5.578965053763441,17.08748319892473,5.404065860215054,13.662399193548385
Alabama,8,79.49606854838709,73.67940188172042,84.65929099462365,69.99808467741936,64.08341733870968,74.42622647849461,14.540272177419357,0.04186827956989247,82.59338037634407,79.48839045698924,4.438877688172043,30.238172043010753,141.11827956989248,1.0238407258064515,3.844926075268817,16.39648857526882,4.192876344086022,12.58707997311828
Alabama,9,74.91623263888889,66.98137152777777,81.65180555555555,64.4934375,54.829375,71.94555555555556,10.626944444444444,0.70625,76.25491319444444,74.90722222222222,5.148871527777778,25.719427083333333,68.11649305555555,1.9973263888888886,2.576909722222222,21.678715277777776,2.7444444444444445,14.7853125
Alabama,10,64.73496303763442,53.58145161290322,74.87664650537634,54.177368951612905,40.057661290322585,66.94317876344087,4.467506720430107,4.731938844086022,64.83652553763442,64.54354838709678,5.468145161290323,25.695396505376344,88.06586021505376,1.688592069892473,2.90440188172043,19.765540994623656,3.468918010752688,14.67059811827957
Alabama,11,54.36381944444444,41.50397569444444,67.52552083333333,43.93442708333333,27.926979166666666,61.003125,1.2207986111111109,11.856545138888889,54.36381944444444,53.368246527777785,5.894774305555556,23.808784722222224,121.88246527777778,1.332204861111111,3.3427083333333334,18.446961805555556,4.1125,14.313385416666668
Alabama,12,48.14914314516128,34.49285954301075,63.10505712365591,39.12434475806452,22.29732862903226,58.053763440860216,0.4259072580645161,17.276260080645162,48.14914314516128,46.03773521505376,6.602738575268817,18.534744623655914,168.20816532258064,1.0970598118279569,3.834845430107527,18.226646505376344,4.520833333333333,14.541431451612905
Alaska,1,11.945713092697412,-9.04225201818688,29.655715876403455,10.572395972081623,-10.791395386008846,27.900506153764187,0.0020924190405493186,53.05658810429618,15.215437100213222,3.5335340609710193,7.991372365339578,27.187063231850118,108.8104918032787,3.794018735362998,2.870679156908665,28.423381733021074,3.0837002341920376,16.67367213114754
Alaska,2,16.002406609195404,-2.0877770935960593,30.99299568965517,11.805025342391891,-8.194856033646069,27.349385312196702,0.00159072249589491,48.99923542692939,17.350517631834354,7.824881808838643,8.117589928057555,24.90274922918808,113.20678314491263,3.588992805755396,2.934378211716341,27.590441932168552,3.2367934224049333,17.335837615621788
Alaska,3,19.895147385984426,5.036494252873563,33.05490823136819,12.37135949943117,-4.948777019340159,27.28755214258627,0.0002549128661475714,45.10510289210233,20.589518843327802,11.849500998003991,8.196342538872129,20.637080529125086,112.72230215827338,3.296760269203991,2.9047110698537946,27.65529357159434,3.647157113019262,17.3436760269204
Alaska,4,32.326544896687274,22.279538808188313,41.18250155808044,22.74968345323741,11.168676258992805,32.23008153477218,0.006860348051200922,32.68112565319527,32.32085851318944,26.32872901678657,8.1028345323741,17.855980815347724,133.86829736211033,2.8589112709832136,3.4414868105515586,25.893956834532375,4.220815347721823,17.363520383693047
